date,value
1-May-20,.6
2-May-20,.6
3-May-20,.6
4-May-20,.6
5-May-20,.6
6-May-20,.6
7-May-20,.65
8-May-20,.69
9-May-20,.69
10-May-20,.7
11-May-20,.7
12-May-20,.72
13-May-20,.74
14-May-20,.76
15-May-20,.76
16-May-20,.75
17-May-20,.76
18-May-20,.77
19-May-20,.77
20-May-20,.78
21-May-20,.8
22-May-20,.81
23-May-20,.85
24-May-20,.84
25-May-20,.86
26-May-20,.88
27-May-20,.9
28-May-20,.88
29-May-20,.89
30-May-20,.91
31-May-20,.9
1-Jun-20,.9
2-Jun-20,.91
3-Jun-20,.9
