date,value
1-May-20,187
2-May-20,181
3-May-20,234
4-May-20,237
5-May-20,253
6-May-20,246
7-May-20,251
8-May-20,249
9-May-20,250
10-May-20,251
11-May-20,253
12-May-20,236
13-May-20,243
14-May-20,235
15-May-20,199
16-May-20,214
17-May-20,205
18-May-20,224
19-May-20,225
20-May-20,226
21-May-20,183
22-May-20,204
23-May-20,171
24-May-20,178
25-May-20,206
26-May-20,213
27-May-20,207
28-May-20,202
29-May-20,200
30-May-20,219
31-May-20,228
1-Jun-20,228
2-Jun-20,257
3-Jun-20,239
